★09:14:59-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3233844437815035971252565ed09887dbff","game_id":"502","order_id":"17100332886527670812645","order_status":"2","pay_time":"1710033288","player_id":"1646597081","product_id":"210","product_name":"\u57fa\u91d11","product_price":"45","sign":"797a90bbad96bdeb012c9efd699f6f75","ext":"cp=3233844437815035971252565ed09887dbff|GiftType=1|id=210"}
★10:01:54-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3233844437815035953443665ed1485473db","game_id":"502","order_id":"17100361015322319522645","order_status":"2","pay_time":"1710036101","player_id":"1646601952","product_id":"207","product_name":"\u901a\u884c\u8bc1","product_price":"68","sign":"8afb20b981c194f9cc7b7b634c8e5d7e","ext":"cp=3233844437815035953443665ed1485473db|GiftType=1|id=207"}
★10:09:31-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3233844437815035953984465ed16487c7af","game_id":"502","order_id":"17100365528479719522645","order_status":"2","pay_time":"1710036552","player_id":"1646601952","product_id":"208","product_name":"\u666e\u901a\u6708\u5361","product_price":"30","sign":"6696bd0d645fad8989b8aee13f9509a7","ext":"cp=3233844437815035953984465ed16487c7af|GiftType=1|id=208"}
★10:09:46-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3233844437815035953507765ed165e8647c","game_id":"502","order_id":"17100365747728119522645","order_status":"2","pay_time":"1710036574","player_id":"1646601952","product_id":"209","product_name":"\u9ad8\u7ea7\u6708\u5361","product_price":"50","sign":"e936b676bac2b58908054f79b0321de7","ext":"cp=3233844437815035953507765ed165e8647c|GiftType=1|id=209"}
★10:39:37-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3190844429225102573716465ed1d5ded393","game_id":"502","order_id":"17100383663218267022645","order_status":"2","pay_time":"1710038366","player_id":"1646596702","product_id":"142","product_name":"\u7ae0\u8282\u793c\u530517","product_price":"128","sign":"7f61ffe83e3982c08d816c65cd9e9320","ext":"cp=3190844429225102573716465ed1d5ded393|ResetType=3|GiftID=21|GiftType=1|id=142|payparam=0"}
★10:41:54-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3190844429225102573866065ed1de706f99","game_id":"502","order_id":"17100385034019367022645","order_status":"2","pay_time":"1710038503","player_id":"1646596702","product_id":"140","product_name":"\u7ae0\u8282\u793c\u530515","product_price":"98","sign":"daa0e0c0679bc2dca73863c72b420687","ext":"cp=3190844429225102573866065ed1de706f99|ResetType=3|GiftID=19|GiftType=1|id=140|payparam=0"}
★11:26:12-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3190844429225101714845865ed28469ee1b","game_id":"502","order_id":"17100411588331845202645","order_status":"2","pay_time":"1710041158","player_id":"1646594520","product_id":"102","product_name":"\u6bcf\u65e5\u7279\u60e02","product_price":"6","sign":"32cdcfa820d9e3eeb2e71eca217d7652","ext":"cp=3190844429225101714845865ed28469ee1b|ResetType=0|GiftID=1|GiftType=1|id=102|payparam=0"}
★12:15:16-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3191844433520068641904065ed33c53321d","game_id":"502","order_id":"17100441014737568752645","order_status":"2","pay_time":"1710044101","player_id":"1646596875","product_id":"193","product_name":"\u5ba0\u7269\u69fd\u4f4d\u793c\u5305","product_price":"30","sign":"1f1a679ffb18a584074c7b3fe3eb7d76","ext":"cp=3191844433520068641904065ed33c53321d|ResetType=3|GiftID=72|GiftType=1|id=193|payparam=0"}
★12:30:39-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3190844429225101797544465ed3761c9ed2","game_id":"502","order_id":"17100450259904648432645","order_status":"2","pay_time":"1710045026","player_id":"1646594843","product_id":"207","product_name":"\u901a\u884c\u8bc1","product_price":"68","sign":"9ec442be974918cc6dbf789083de4a21","ext":"cp=3190844429225101797544465ed3761c9ed2|GiftType=1|id=207"}
★13:03:17-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"3191844433520068641970565ed3f06c74f9","game_id":"502","order_id":"17100469830023768752645","order_status":"2","pay_time":"1710046983","player_id":"1646596875","product_id":"211","product_name":"\u9ad8\u7ea7\u57fa\u91d11","product_price":"128","sign":"69158cf7c658f425c617f100effc15b3","ext":"cp=3191844433520068641970565ed3f06c74f9|GiftType=1|id=211"}
