★00:28:10-39.144.192.186★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"78368415aede36b3-c690-43ad-b06d-6ed42daab6c6","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594871","si":"3190","fee":"3","char_id":"844429225101809","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★02:11:51-116.179.75.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"436110320d9f093dd-b8f8-4b6b-910c-2af9ef95fc1a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598114","si":"3191","fee":"128","char_id":"844433520069167","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★02:43:32-220.200.126.210★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"18674853539654348f-0eec-4c79-8a63-188ffae6d822","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646592578","si":"3190","fee":"30","char_id":"844429225101355","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★02:44:20-220.200.126.210★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"18674853539654348f-0eec-4c79-8a63-188ffae6d822","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646592578","si":"3190","fee":"30","char_id":"844429225101355","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:26:25-180.111.243.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594301","si":"3190","fee":"30","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:20:29-120.36.201.68★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"401096521424bb5424-a492-4125-80e8-c62bd92d858a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646652158","si":"3233","fee":"1","char_id":"844437815042349","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:23:12-120.36.201.68★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"401096521424bb5424-a492-4125-80e8-c62bd92d858a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646652158","si":"3233","fee":"1","char_id":"844437815042349","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★12:40:22-59.58.138.154★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"1073379661c02acb80-0593-422c-a856-09fd1f17a55a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646596892","si":"3190","fee":"6","char_id":"844429225102690","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★13:38:42-122.226.172.198★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"1073379657161701c1-79ad-4a30-9422-25c8a8062390","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646596176","si":"3233","fee":"6","char_id":"844437815044353","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:00:17-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:00:40-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:00:59-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:01:17-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:01:35-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:02:55-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:03:16-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:03:35-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:15:56-124.239.193.99★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135295524245700a2-a8b3-400b-be83-b89d1f7a644b","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594520","si":"3190","fee":"6","char_id":"844429225101714","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:08:07-116.179.75.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"436110320d9f093dd-b8f8-4b6b-910c-2af9ef95fc1a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598114","si":"3191","fee":"6","char_id":"844433520069167","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:08:50-116.179.75.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"436110320d9f093dd-b8f8-4b6b-910c-2af9ef95fc1a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598114","si":"3191","fee":"6","char_id":"844433520069167","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:09:29-116.179.75.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"436110320d9f093dd-b8f8-4b6b-910c-2af9ef95fc1a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598114","si":"3191","fee":"3","char_id":"844433520069167","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:09:52-116.179.75.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"436110320d9f093dd-b8f8-4b6b-910c-2af9ef95fc1a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598114","si":"3191","fee":"3","char_id":"844433520069167","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:11:09-116.179.75.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"436110320d9f093dd-b8f8-4b6b-910c-2af9ef95fc1a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598114","si":"3191","fee":"30","char_id":"844433520069167","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★16:23:55-223.104.67.58★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3295913375f1c796ca-f9b6-4e29-bc33-9181b0765f3a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594593","si":"3190","fee":"6","char_id":"844429225101728","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★16:40:16-223.104.67.58★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3295913375f1c796ca-f9b6-4e29-bc33-9181b0765f3a","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594593","si":"3190","fee":"6","char_id":"844429225101728","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★17:57:41-112.91.162.56★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646596702","si":"3190","fee":"68","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:22:42-36.21.88.29★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42949672650e8308e5-d190-478c-9a12-552441011395","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646596647","si":"3190","fee":"3","char_id":"844429225102539","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:23:15-36.21.88.29★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42949672650e8308e5-d190-478c-9a12-552441011395","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646596647","si":"3190","fee":"6","char_id":"844429225102539","sku":"com.wjgame.yxzd.tf.736430079244417834"}
