★05:13:18-171.221.110.225★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:13:38-171.221.110.225★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:14:02-171.221.110.225★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:14:20-171.221.110.225★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:16:22-171.221.110.225★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:16:43-171.221.110.225★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:22:52-39.188.205.18★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"32871960386833c4f1-725e-46e8-9d8e-3508bfa48bff","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646597164","si":"3191","fee":"6","char_id":"844433520068623","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:25:20-223.104.122.173★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"7139f16dd26b-8d6a-4d5e-b2c5-f1e2784990f1","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646598300","si":"3191","fee":"30","char_id":"844433520069268","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:50:56-115.234.151.81★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"30625d8268-6119-4969-a6f2-d9b7f23a1550","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599321","si":"3191","fee":"3","char_id":"844433520069736","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:51:08-115.234.151.81★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"30625d8268-6119-4969-a6f2-d9b7f23a1550","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599321","si":"3191","fee":"6","char_id":"844433520069736","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:11:06-113.77.34.135★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"54135545221173d7-52b5-46d1-ad33-355d2fa4037a","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599048","si":"3191","fee":"6","char_id":"844433520069675","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:11:28-113.77.34.135★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"54135545221173d7-52b5-46d1-ad33-355d2fa4037a","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599048","si":"3191","fee":"3","char_id":"844433520069675","sku":"com.wjgame.yxzd.tf.736430079244417834"}
