★14:40:30-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"30","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★14:40:33-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"30","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★14:40:35-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"68","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★14:40:40-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"30","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★14:40:42-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"50","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★14:54:48-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"21352563864696fb6c-5736-4fc6-8c11-83b866ddd9c8","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646583476","si":"3190","fee":"6","char_id":"844429225102851","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:55:18-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"21352563864696fb6c-5736-4fc6-8c11-83b866ddd9c8","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646583476","si":"3190","fee":"12","char_id":"844429225102851","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:55:26-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"21352563864696fb6c-5736-4fc6-8c11-83b866ddd9c8","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646583476","si":"3190","fee":"18","char_id":"844429225102851","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:56:02-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"21352563864696fb6c-5736-4fc6-8c11-83b866ddd9c8","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646583476","si":"3190","fee":"18","char_id":"844429225102851","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:58:43-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213525638670456af2-7b5e-4d19-902f-8d1fe17293a0","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646576536","si":"3185","fee":"18","char_id":"2814754062074612","sku":"com.test.yx.ky.736430079244417834"}
★15:00:44-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213525638670456af2-7b5e-4d19-902f-8d1fe17293a0","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646576536","si":"3185","fee":"6","char_id":"2814754062074612","sku":"com.test.yx.ky.736430079244417834"}
★15:01:24-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213525638670456af2-7b5e-4d19-902f-8d1fe17293a0","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646576536","si":"3185","fee":"30","char_id":"2814754062074612","sku":"com.test.yx.ky.736430079244417834"}
★15:01:52-211.90.236.36★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213525638670456af2-7b5e-4d19-902f-8d1fe17293a0","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646576536","si":"3185","fee":"18","char_id":"2814754062074612","sku":"com.test.yx.ky.736430079244417834"}
★15:06:51-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"6","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★15:06:54-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1745318290e60cc8bd-3881-44d9-be31-a883a3a08a16","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_1646404536","si":"3185","fee":"1","char_id":"2814754062075657","sku":"com.test.yx.ky.736430079244417834"}
★15:13:02-60.176.228.218★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"4206503160a25bf330-bb2e-4fac-9869-482e216e23b7","app":"0.0.6.20","res":"0.0.6.20","acc":"yc_164286654","si":"3185","fee":"6","char_id":"2814754062073957","sku":"com.test.yx.ky.736430079244417834"}
★19:17:42-183.164.25.105★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"115134942748a41693-b242-4e19-8ae7-a56023a68949","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593843","si":"3190","fee":"78","char_id":"844429225101534","sku":"com.wjgame.yxzd.tf.736430079244417834"}
