★06:58:14-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:00:01-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"30","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:00:20-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"45","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:01:59-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"45","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:04:35-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"128","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:06:44-39.144.0.187★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"294788a4458a-b894-4f55-9db9-698cd031dd34","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646592528","si":"3190","fee":"30","char_id":"844429225101346","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:07:01-218.26.158.195★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135255330b8b3daed-071c-4f9c-9130-9c5773a2b2bf","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598964","si":"3191","fee":"6","char_id":"844433520069641","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:10:24-39.144.0.187★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"294788a4458a-b894-4f55-9db9-698cd031dd34","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646592528","si":"3190","fee":"68","char_id":"844429225101346","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★12:02:33-182.39.35.119★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"36735547251ade84e7-eaca-4fc7-a25e-87f865a5331f","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646595018","si":"3190","fee":"1","char_id":"844429225101858","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★12:06:18-182.39.35.119★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"36735547251ade84e7-eaca-4fc7-a25e-87f865a5331f","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646595018","si":"3190","fee":"1","char_id":"844429225101858","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★12:25:04-182.39.35.119★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"36735547251ade84e7-eaca-4fc7-a25e-87f865a5331f","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646595018","si":"3190","fee":"1","char_id":"844429225101858","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★13:02:18-223.101.110.8★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3289388195e4a8c9d1-5a60-4a93-a296-c72b00a14065","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646604083","si":"3191","fee":"6","char_id":"844433520071966","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★13:55:37-223.104.123.6★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"50331b8dcf22d-cf28-421c-b5a0-649cf8e76ed1","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646595948","si":"3190","fee":"3","char_id":"844429225102230","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★13:59:26-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:00:22-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:00:47-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
