★09:54:00-171.219.183.91★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:19:57-120.239.199.120★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135288066c4627d83-334f-434e-ac3f-50a57a7c270e","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599371","si":"3191","fee":"18","char_id":"844433520069744","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:41:26-39.148.36.5★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"20913467665e627185-cb72-4713-a73c-3ab333e4e38e","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646598897","si":"3191","fee":"6","char_id":"844433520069610","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★12:47:45-39.144.137.19★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8297279634710ed65-235e-4f12-8ff8-2691c3dc5ac7","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646597128","si":"3190","fee":"68","char_id":"844429225102764","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:01:36-120.229.116.215★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"54135545221173d7-52b5-46d1-ad33-355d2fa4037a","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599048","si":"3191","fee":"30","char_id":"844433520069675","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:01:36-120.229.116.215★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"54135545221173d7-52b5-46d1-ad33-355d2fa4037a","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646599048","si":"3191","fee":"30","char_id":"844433520069675","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:24:11-183.208.23.152★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646594301","si":"3190","fee":"18","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:10:04-122.238.112.206★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135331461bc1466c8-a55b-4594-a0ba-1ef27fc7d4a4","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646598906","si":"3191","fee":"6","char_id":"844433520069613","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:27:00-121.21.122.73★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"224019847820c8e183-e993-4546-8baf-99ad2140ed28","app":"0.0.5.4","res":"0.0.5.4","acc":"yc_1646596281","si":"3190","fee":"30","char_id":"844429225102356","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:57:05-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:08-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:13-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:16-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:20-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"30","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:23-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"30","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:27-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★19:57:32-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"18","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:09-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:12-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:14-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:16-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:19-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:21-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★20:34:23-220.202.238.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.5.6","res":"0.0.5.6","acc":"yc_1646602477","si":"3185","fee":"648","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
